tablewar	0.0	1.0
antiqu	0.0	2.0
drippi	1.0	1.0
expressionist	2.0	2.0
adafarasin	0.0	1.0
yevgeni	0.0	1.0
campion	0.0	5.0
presidenti	3.0	9.0
carvill	2.0	2.0
matalin	2.0	0.0
twosom	1.0	1.0
senatori	1.0	0.0
vallick	1.0	0.0
geena	2.0	3.0
republican	3.0	3.0
ulterior	3.0	2.0
plent	1.0	0.0
stud-report	1.0	0.0
all	4.0	0.0
wise-ass	3.0	0.0
high-	1.0	0.0
partisanship	1.0	0.0
compat	2.0	0.0
flute-and-wind	1.0	0.0
grocer	1.0	0.0
carvey	1.0	1.0
slate	5.0	1.0
darabont	2.0	3.0
edgecomb	0.0	4.0
comer	0.0	1.0
hutchinson	0.0	3.0
rockwel	2.0	3.0
perci	0.0	2.0
wetmor	0.0	3.0
coffey	1.0	7.0
child-lik	1.0	3.0
inbr	3.0	1.0
eduard	0.0	2.0
delacroix	0.0	2.0
cut-rat	2.0	0.0
bereft	3.0	1.0
deject	2.0	0.0
five-minut	3.0	0.0
benni	4.0	1.0
mod	7.0	2.0
hep	1.0	0.0
disservic	1.0	0.0
cryogen	5.0	2.0
forz	1.0	0.0
rubric	1.0	0.0
sidesplit	1.0	1.0
kitsch	2.0	0.0
skewer	3.0	1.0
bloodless	1.0	1.0
hi-def	1.0	0.0
offset	1.0	2.0
tyson	3.0	9.0
writer-director	5.0	4.0
evalu	4.0	2.0
prosecutor	0.0	1.0
maclain	0.0	1.0
calorie-free--so	0.0	1.0
rein	1.0	0.0
abomin	3.0	0.0
summertim	1.0	0.0
spind	1.0	1.0
firebal	3.0	4.0
semi-dramat	0.0	1.0
sheffield	0.0	2.0
semi-slum	0.0	1.0
steel-factori	0.0	1.0
gaz	0.0	4.0
jobless	0.0	2.0
`plump	0.0	1.0
addi	1.0	1.0
foreman	2.0	3.0
wilkinson	0.0	3.0
`call	0.0	1.0
child-support	0.0	1.0
ex-wif	6.0	6.0
wild-idea	0.0	1.0
his`plump	0.0	1.0
`work	0.0	1.0
not-so-pract	0.0	1.0
bloke	0.0	1.0
strip-act	0.0	2.0
`beauti	0.0	1.0
real-men	0.0	1.0
harsh-real	0.0	1.0
human-factor	0.0	1.0
cattaneo	0.0	1.0
just-another-stripteas	0.0	1.0
applaus	0.0	4.0
brainard	4.0	0.0
golfbal	1.0	0.0
unqualifi	1.0	0.0
dribbl	2.0	0.0
semi	1.0	0.0
prof	4.0	0.0
weebo	2.0	0.0
craziest	0.0	1.0
straighten	3.0	1.0
coke	2.0	5.0
baranski	2.0	2.0
cybil	2.0	3.0
bullworth	0.0	1.0
gangland	0.0	3.0
feather	2.0	3.0
indistinct	1.0	0.0
taller	2.0	0.0
burlier	1.0	0.0
snaggleteeth	1.0	0.0
puppet-styl	1.0	0.0
hyperr	1.0	0.0
humanoid	1.0	2.0
expression-challeng	1.0	0.0
turgid	3.0	0.0
specimen	1.0	1.0
hard-as-nail	1.0	0.0
peri	1.0	0.0
gilpin	1.0	0.0
save-the-earth	1.0	0.0
shoot-em-up	1.0	2.0
brunet	1.0	0.0
weena	1.0	2.0
eloi	1.0	4.0
jell-o	2.0	0.0
futurama	1.0	0.0
gloom	2.0	4.0
mulan	0.0	69.0
fiesti	0.0	2.0
head-strong	0.0	1.0
hun	0.0	7.0
conscript	0.0	3.0
self-discoveri	1.0	2.0
self-reli	0.0	1.0
brain-over-brawn	0.0	1.0
corp	1.0	1.0
asian-american	0.0	3.0
wen	0.0	18.0
shang	0.0	6.0
morita	0.0	3.0
soon-tek	0.0	5.0
mushu	0.0	8.0
ancestor	0.0	1.0
hip-talk	0.0	1.0
zippel	0.0	3.0
goldsmith	6.0	1.0
hunchback	1.0	7.0
notr	1.0	6.0
spur	1.0	2.0
orienti	0.0	1.0
hemingwayesqu	1.0	0.0
3000-level	1.0	0.0
zephyr	1.0	0.0
tsavo	1.0	0.0
uganda	1.0	0.0
reknown	1.0	0.0
siegfri	1.0	0.0
nigh-invulner	1.0	0.0
solmen	1.0	0.0
wherewith	2.0	0.0
scaffold-lik	1.0	0.0
savannah	1.0	4.0
palm	3.0	4.0
dunno	3.0	1.0
tatter	1.0	0.0
macomb	1.0	0.0
`under	0.0	2.0
francoi	2.0	3.0
ozon	1.0	3.0
cremer	0.0	1.0
nap	0.0	1.0
antoin	0.0	1.0
heberl	0.0	1.0
lapoiri	0.0	1.0
delusion	0.0	3.0
twenty-f	1.0	3.0
nolot	0.0	1.0
unneed	0.0	1.0
`crimin	0.0	1.0
farina	4.0	1.0
lilli	4.0	0.0
irrespons	1.0	2.0
paparazzo	1.0	0.0
newlyw	1.0	1.0
rowena	1.0	0.0
gail	4.0	3.0
o'gradi	1.0	0.0
quayl	1.0	0.0
unrepent	1.0	0.0
dixon	2.0	5.0
valet	1.0	2.0
career-consci	1.0	0.0
self-cent	2.0	2.0
above-averag	1.0	2.0
character-actor	1.0	0.0
bresson	0.0	11.0
lancelot	0.0	11.0
malori	0.0	1.0
mort	0.0	1.0
darthur	0.0	1.0
enshrin	0.0	1.0
dethron	0.0	1.0
ineffectu	6.0	1.0
prescrib	0.0	1.0
merlin	0.0	1.0
christ	0.0	24.0
disjoint	5.0	6.0
smolder	0.0	2.0
near-ruin	0.0	1.0
arthurian	2.0	3.0
condomina	0.0	1.0
mordr	0.0	1.0
gawain	0.0	1.0
